Date,West Bengal,prediction
2019-01-01,108.2,0.0
2019-02-01,110.2,108.2
2019-03-01,106.8,110.2
2019-04-01,107.0,106.8
2019-05-01,106.4,107.0
2019-06-01,109.3,106.4
2019-07-01,102.9,109.3
2019-08-01,131.7,102.90000000000002
2019-09-01,140.1,131.7
2019-10-01,149.8,140.1
2019-11-01,154.7,149.8
2019-12-01,155.3,154.7
2019-01-13,143.9,209.40017739418062
2019-01-14,143.4,145.89929550046563
2019-01-15,152.9,140.0011976492087
2019-01-16,167.7,153.09992955004606
2019-01-17,175.9,167.1002113498586
2019-01-18,180.6,178.79897847567477
2019-01-19,178.9,174.2022543985098
2019-01-20,178.9,207.6898552067047
2019-01-21,173.0,187.2970411019589
2019-01-22,183.4,182.69658317725887
2019-01-23,175.5,188.29827397614068
2019-01-24,161.2,176.09978865014023
2019-01-25,169.5,149.84616502387394
2019-01-26,135.6,170.23834005640992
2019-01-27,103.6,138.70893507428679
2019-01-28,131.5,111.16598204924775
2019-01-29,125.7,135.3398981009905
2019-01-30,126.1,129.50762359604053
2019-01-31,128.0,122.07239003202186
2019-01-02,127.6,142.2646534395014
2019-02-02,131.6,128.78384557256481
2019-03-02,136.8,141.65144076579335
2019-04-02,138.9,135.24125043173396
2019-05-02,115.4,131.98251920095967
2019-06-02,115.1,113.96061558427128
2019-07-02,117.4,104.05683581779101
2019-08-02,123.7,108.49687539024399
2019-09-02,124.9,138.12218119640642
2019-10-02,123.3,125.41771504975505
2019-11-02,116.8,125.93924180080747
2019-12-02,124.4,114.76903703108691
2019-02-13,125.4,133.80345532571383
2019-02-14,126.8,127.60793724923046
2019-02-15,128.6,135.19651257855224
2019-02-16,132.4,128.34536470755012
2019-02-17,127.1,119.90491913837963
2019-02-18,119.8,125.95869337909568
2019-02-19,185.5,112.41062830576004
2019-02-20,186.1,180.73282501088644
2019-02-21,198.1,196.9860745747702
2019-02-22,189.0,198.12950444071623
2019-02-23,175.9,189.3015961469608
2019-02-24,176.0,176.31797001957486
2019-02-25,153.4,183.3254083068416
2019-02-26,113.9,155.38293567969168
2019-02-27,119.5,120.62381803035424
2019-02-28,114.1,120.26991476347403
2019-01-03,120.5,103.56299465692986
2019-02-03,118.9,117.76188743843406
2019-03-03,119.8,126.65782531938206
2019-04-03,111.4,116.04965850385413
2019-05-03,163.7,122.60758653030199
2019-06-03,167.1,161.84135136257547
2019-07-03,170.3,164.67054716610917
2019-08-03,173.5,170.58547175182338
2019-09-03,178.5,174.64534408325886
2019-10-03,177.2,171.84059821113237
2019-11-03,165.2,183.73493594215878
2019-12-03,98.4,164.6557726338582
2019-03-13,97.7,91.34547462734119
2019-03-14,91.6,95.24118391616666
2019-03-15,97.1,97.62104131509442
2019-03-16,106.8,92.49417881031744
2019-03-17,101.9,125.20632386905089
2019-03-18,95.6,101.0302776265
2019-03-19,107.5,94.25611293313844
2019-03-20,110.8,108.29827880713754
2019-03-21,113.4,112.84021783537368
2019-03-22,113.0,107.98319836573347
2019-03-23,114.1,116.29323417021843
2019-03-24,115.6,101.98180246803975
2019-03-25,102.1,109.53577561586388
2019-03-26,152.1,98.99477817538465
2019-03-27,145.2,158.089215736336
2019-03-28,145.8,142.79923398233956
2019-03-29,160.1,160.3584717493692
2019-03-30,172.7,158.36718545550826
2019-03-31,164.2,173.3232107701679
2019-01-04,158.4,165.35562734354338
2019-02-04,111.8,160.49784525241432
2019-03-04,112.5,107.10625223360348
2019-04-04,109.7,115.60153055097324
2019-05-04,109.3,100.15169604365667
2019-06-04,115.4,102.05837537320568
2019-07-04,113.0,120.37762024043174
2019-08-04,109.4,117.2675337891221
2019-09-04,183.4,107.28955260614487
2019-10-04,195.2,198.10324818419815
2019-11-04,181.6,195.42881799471166
2019-12-04,182.4,180.8974185489656
2019-04-13,175.9,182.60432334352544
2019-04-14,176.3,171.4713420022764
2019-04-15,162.5,172.28902645087047
2019-04-16,116.3,164.82961886637446
2019-04-17,113.5,107.87502846065279
2019-04-18,115.4,108.1028539882583
2019-04-19,119.7,118.97453996779727
2019-04-20,119.9,123.12560957512423
2019-04-21,120.5,126.9053283879862
2019-04-22,111.1,134.8582895600518
2019-04-23,106.8,109.55394233721357
2019-04-24,111.8,106.34976287516848
2019-04-25,110.3,111.25449828331753
2019-04-26,109.6,106.8400452099582
2019-04-27,107.0,104.36994572246425
2019-04-28,111.1,103.54856703067648
2019-04-29,100.7,103.27659595408224
2019-04-30,166.7,96.07323661017374
2019-01-05,153.1,170.4167442221963
2019-02-05,139.1,156.23868507905425
2019-03-05,142.8,144.78930135864059
2019-04-05,140.9,154.59145664357254
2019-05-05,133.4,139.1648021664004
2019-06-05,122.6,133.53248794195062
2019-07-05,194.3,122.00532319793327
2019-08-05,192.2,191.10538327850858
2019-09-05,180.5,187.3357147030637
2019-10-05,174.5,178.26602567151946
2019-11-05,172.5,166.34935207451593
2019-12-05,166.0,175.51365567821517
2019-05-13,151.3,167.82334751687162
2019-05-14,151.5,152.75234809633284
2019-05-15,160.4,157.0373416833178
2019-05-16,170.0,171.01803089118192
2019-05-17,181.2,167.71211516877563
2019-05-18,178.9,180.19464446178085
2019-05-19,178.9,185.5412851412939
2019-05-20,177.7,175.79181843446074
2019-05-21,100.4,172.13144336601457
2019-05-22,114.7,97.7311251503258
2019-05-23,106.4,107.18499661167202
2019-05-24,107.8,107.88184754763796
2019-05-25,111.8,108.1136773861649
2019-05-26,117.0,113.27906016641967
2019-05-27,125.2,122.86507046105275
2019-05-28,158.2,135.83934728544824
2019-05-29,159.6,157.20676937584315
2019-05-30,149.6,158.5652876043373
2019-05-31,124.8,155.02767991476733
2019-01-06,110.6,121.85888528290064
2019-02-06,116.3,98.45827330903435
2019-03-06,113.9,115.2301646120064
2019-04-06,120.6,106.26160004406105
2019-05-06,124.5,122.14786945787824
2019-06-06,125.7,125.2927869568456
2019-07-06,127.2,127.51097692782871
2019-08-06,124.9,133.23797244778163
2019-09-06,114.8,137.4726904086222
2019-10-06,112.4,113.90025461250306
2019-11-06,184.1,110.6056391627094
2019-12-06,193.3,186.97713142729597
2019-06-13,192.0,189.37419427657667
2019-06-14,172.7,181.99396607428935
2019-06-15,184.2,171.37402791967352
2019-06-16,155.6,177.80127960732193
2019-06-17,154.9,157.35159429531674
2019-06-18,112.2,155.6982518972226
2019-06-19,122.3,113.95468211396096
2019-06-20,118.8,127.6463789362014
2019-06-21,118.3,129.35797872249685
2019-06-22,121.4,117.25820043489752
2019-06-23,119.1,125.60159091889057
2019-06-24,107.5,122.74162913454035
2019-06-25,151.8,103.88043503580876
2019-06-26,166.7,140.90049750730873
2019-06-27,180.0,166.4171194972648
2019-06-28,184.4,171.69210621659278
2019-06-29,168.6,185.93430065578164
2019-06-30,161.6,165.89064876297653
2019-01-07,151.5,163.98964955938126
2019-02-07,118.8,156.24627018574938
